content,intensity
Sometimes it’t not the song that makes you emotional… it’s the people and things that come to your mind when you hear it.,sadness
"I hate how we went from being strangers, to friends, to close friends, to almost sumthing more, to nothing 🙁",sadness
I don’t think you know what you are doing to me.,sadness
"Me and She makes best couple, but her dad always create trouble 🙁",sadness
If I had one single wish… I would go back to the moment we kissed 🙁,sadness
Sadness is when “last seen at” changes to “Online” & again to “last seen at” without reply,sadness
If distance is a solution to reduce complications… I want to maintain this distance for eternity 🙁,sadness
Tears are the last gift of TRUE LOVE…..,sadness
Tired of making fake smile.,sadness
I didn’t want to be the one to forget.,sadness
It’s funny how other people are willing to do lots of brave things for you.. yet.. you still choose someone who can’t even offer you half of what others could 🙁 🙁,sadness
"Sometimes silence is much better than talking , at least it don’t hurt 🙁 🙁 ",sadness
"Feelings don’t walk away, people do 🙁",sadness
Silence is the most powerful scream,sadness
The most important part of moving on is letting go.,sadness
If I die tomorrow u will miss me,sadness
Don’t cry for the person who doesn’t know the value of your tears…,sadness
"I still care, that ‘s the problem",sadness
Please don’t interrupt me while I’m ignoring you,sadness
"Missing someone hurts, but whats hurts even more, is knowing that you’r the reason that they’re gone.",sadness
"You get no appreciation when you are nice, but people notice when you become bad.",sadness
"People think I’m bad when I’m talking, But When I’m quiet is when you really have to worry!",sadness
You will know a person’s heart by the way they treat their pets.,sadness
It would be so much easier to dissapear..save everyone the trouble..,sadness
OK for those who are wondering… NO! I’m NOT OK!.. I have NOT been for a while… I wont be for a long time…,sadness
What breaks my heart into pieces is knowing that you will forget the things that I will remember forever.,sadness
"Bruises will go away, eventually. Even the pain that caused them will too, but the memory of how it happened won’t.",sadness
the worst feeling in the world is when you know that you both love each other but still you just can’t be together,sadness
I may smile and i may laugh. But deep down my heart is a pain you’ll never guess.,sadness
"I tell people I’m OK i tell myself I’m fine, then i look in the mirror and laugh until i cry because i know it was all just a lie.",sadness
The more I do not talk to you does not make it any better it just makes my heart break even more everyday.,sadness
Surrounded by many people who love me..but yet I’m so alone..why is that? Is it because your the only one not there./li>,sadness
Emotionally..I am Done……Mentally..I am Drained…..Spiritually..I am Dead…..And Yet Physically..I Smile…,sadness
You can crop me out of the pictures we took together…But You can never crop me out of the memories we shared ….,sadness
One of the worst things that can happen to a person is to be forgotten by someone they will never forget.,sadness
If the relationship does not make you a better person… then you are with the wrong person.,sadness
Better by far you should forget and smile than that you should remember and be sad.,sadness
Its mostly the scars that people can’t see that hurt the most….. they also take the longest to heal.,sadness
I wish i could escape to a place. somewhere where the feelings and thoughts won’t be able to haunt me.,sadness
It took seeing what my life is like without you to know that i want you in it. i’m sorry for ever hurting you.,sadness
Every time I take a step forward in my life….. I get pushed two steps back…am I walking backwards?,sadness
Sometimes what you don’t say is more powerful than what you do say.,sadness
I smile during the day… I cry during the night…. Just hoping the pain will go away.,sadness
Why is it that when we think we are finally happy we want to break down and cry because we think we don’t deserve it?,sadness
I can hold back my tears and hide them with a smile but I can’t hide that hole in my heart…,sadness
One day you may realise you lost a diamond while you were busy collecting stones.,sadness
"If love is the best feeling in the world, then why does my heart hurt so much?",sadness
I like to pretend that i am okay because I do not wanna annoy people with my problems.,sadness
It`s not always the tears that measure the pain. Sometimes it`s the smile we fake.,sadness
"Just when you think things are going smoothly and couldn’t get no better, the devil jumps in and screws everything up!",sadness
i guess what they say is true. everything happens for a reason.,sadness
"The longer I’m alone, the more I want it to stay that way..",sadness
"Its funny how the ones you look up to the most, can be the ones to hurt you the most!",sadness
"My actions are before blinded eyes, my voice falls on deafened ears.",sadness
Surrounded by many people who love me..but yet I’m so alone..why is that? Is it because your the only one not there???,sadness
Don`t be sad because it`s over. Smile because it happened,sadness
"Just because I am smiling, doesnt mean my life is perfect.",sadness
My life isnt perfect but i am thankful for everything i have.,sadness
The sad moment when you find an old conversation between YOU and Someone you don't talk to anymore.,sadness
"""A single moment of misunderstanding is so poisonous, that it makes us forget the hundred lovable moments spent together within a minute .""",sadness
Too much trust sometimes Kills you.,sadness
My weakness is that I care too much.,sadness
I can’t trust someone who is friends with everyone.,sadness
"I knw U Hv Blocked Me, But Still I luv To Watch Ur Blank Profile 💔",sadness
"I think I’m afraid to be happy because whenever I get too happy, something bad always happens.",sadness
"If you push me away I promise you, you won’t find me where you left me. My heart is big , but not big enough to deal with people, who decide to love me when it’s convenient for them.",sadness
"A Lie is a Lie, no matter how big or how small.",sadness
Tears are the last gift of TRUE LOVE....,sadness
"Sometimes it feels so good to just sit by yourself,relax and not talk to anyone.",sadness
I’m sorry I was not good enough. But i tried to be.,sadness
"Sorry heart, but I am listening to my brain this time. I know better.",sadness
I REALLY CARE ABOUT U BUT U CARE ABOUT SOMEONE ELSE WHO NEVER CARE ABOUT U,sadness
"I'll never hurt you , what a LIE .",sadness
More expectations break relations,sadness
"Sometimes when I say: I'm okay. I want someone to look me in the eyes, hug me tight, and say: I know you're not.",sadness
I feel like everything i do is wrong.,sadness
Sometimes two people have to fall apart to realize how much they need to fall back together.,sadness
The smile on my face doesn't mean my life is perfect.,sadness
It's sad to be happy alone.,sadness
I hope we meet again.,sadness
“For some moments in life there are no words.”,sadness
U Cant Switch Off Ur Feelings Just Because Other Person Did 💔💔,sadness
"He is not really mine. We are not really together. But for what its worth, he is and will always be my sweetest whatever.",sadness
I can feel you forgetting me.,sadness
"Im loyal, but it always seems like Im loyal to the wrong people.",sadness
I don’t regret my past. I just regret the time I have wasted with the wrong people.,sadness
"Sadly, The only way some people will learn to appreciate you, is by losing you.",sadness
"I dont hate you, I hate what you have done.",sadness
Seriously boys dont understand how much a little word or move can affect a girl.,sadness
"The truth is, I`m still waiting for you till now.",sadness
From outside I am Smiling But It does not mean I am Happy.,sadness
Bad relationship change good people.,sadness
"Every time i trust somebody, they show me why i shouldnt.",sadness
"Things change, but the way you made me feel that never will.",sadness
"You can miss someone who died , you can miss someone who moved away, but the worst is when you miss someone you see everyday.",sadness
"Every day, I am acting like I am okay but you'll never know the truth.",sadness
I like to listen to sad music when I'm sad to make me double sad.,sadness
"Don't promise when you're happy, don't reply when you're angry, and don't decide when you're sad.",sadness
The heart was made to be broken.,sadness
"I feel crappy inside,like something just broke.",sadness
"Me and my heart, we got issues. Dont know if I should hate you or miss you.",sadness
One of the worst mistakes you will do is walking away from the person who actually stood there and waited for you.,sadness
I will wait till the day I can forget YOU or the day you realize you can’t forget Me.,sadness
You think I have changed. Truth is you never really knew the real me.,sadness
Real feelings don’t just “go away”.,sadness
Why am I so afraid to lose you when you're not even mine?,sadness
I’ve lost somebody who wasn’t even mine.,sadness
"Sometimes, you have to smile to hold back the tears.",sadness
People say follow your heart…but which way do you go when your heart breaks into two?,sadness
" When words fail, tears speak.. ",sadness
Your boyfriend should treat you like his princess not like his bitch.,sadness
I hate the fact that things between us never got better.,sadness
Smile and no one will see how broken you are inside. ,sadness
"One day you'll finally see, your biggest mistake was not loving me.",sadness
i hate being jealous when i know i should not be.,sadness
"I still love you, that's a fact. But a million apologies can't bring me back.",sadness
Sometimes you have to know when to stop hoping :-(,sadness
I wish you weren’t in my dreams.,sadness
"The sad part isn't that we never talk, its that we used to talk everyday.",sadness
It's so hard to forget someone that you shared so many memories with.,sadness
Sadness does not come from bad circumstances. It comes from bad thoughts.,sadness
Don't play with my heart if you have no intentions for a serious relationship.,sadness
"You will find a girl prettier than me, smarter than me, and funnier than me, but you will never find a girl just like me.",sadness
Thanks for texting me first and then ignoring my reply.,sadness
I need something more to hold then just a phone.,sadness
No one has ever loved anyone the way everyone wants to be loved.,sadness
it’s funny how a person can hurt you so much when you were expecting it in the first place..,sadness
"I fell for you, but you didn’t catch me..",sadness
"No matter how much you tries to forget, it will always be there.",sadness
"You were most precious trophy i had, But i was the best Game you Played.",sadness
Relationships are like glass. Sometimes its better to leave them broken than hurt yourself trying to put it back together.,sadness
"Dont blame me for leaving, blame yourself for not doing the right things to keep me.",sadness
i will forgive you but the way i look at you will never be the same as it used to be.,sadness
Memories are the only reason we cant move on.,sadness
HOPE = Hold On Pain Ends.,sadness
"""Many Books ARe Available On""""How To Love Someone..!"""" But, A Single Book Is Not Available On""""How To Forget The Truely Loveable One...!!""",sadness
My mouth says I’M OK my fingers text I’M FINE my heart says I’M BROKEN,sadness
PROMISE: We break them ……. MEMORIES: They break us :(,sadness
I Wish I Could Give You My Pain So That You Understand How Much You Hurt Me.,sadness
"I will always care for you, even if we are not together and even if we are far, far away from each other.",sadness
"Why am I so afraid to lose YOU,when You are not even MINE.",sadness
Apologies dont fix broken hearts.,sadness
"The most painful goodbyes are the ones never said, but the heart already knows it's over.",sadness
"The truth is: I can’t hate you, even if I try.",sadness
What was my fault….?,sadness
You know my name not my story.,sadness
"I act like I don’t care, but inside, I care more than you can ever think.",sadness
"Lies dont end relationships, The truth does.",sadness
"I know I have no chance, but somehow I can't stop trying.",sadness
"""How Strange!! ""Lies don't end relationships, usually the truth does..!"" RT""",sadness
STOP wasting your tears on someone who doesn't care to make You SMILE.,sadness
I was only a timepass in your life..But someday u wil truly realise that the time passed wid me was the most beautiful time ever.,sadness
Never trust those people who don't understand your feelings.,sadness
It's hard to move on when you still care.,sadness
"Just because a relationship ends, doesnt mean two people stopped loving each other. sometimes, they just stopped hurting each other.",sadness
It sucks when you are ignored by the one person whose attention means the world to you.,sadness
I hate to see his face,sadness
A dog is the only thing that can mend a crack in your broken heart,sadness
"If I delete your number, you are basically deleted from my life.",sadness
I'm slowly giving up.,sadness
I hate seeing you because you bring back the feelings I tried so hard to forget.,sadness
"Sorry For Caring, Sorry For Trying, But Most Of All, I am Sorry I Let You In.",sadness
"When a relationship fails, its both their fault. One for giving up and walking away, and the other for not stopping them.",sadness
Tears are prayers too. They travel to God when we can't speak.,sadness
I want to be with someone who has experienced having a broken heart. So that they know exactly how it feels and won’t break mine.,sadness
I have learned that sometimes “sorry” is not enough. Sometimes you actually have to change.,sadness
i m so sorry my love...,sadness
I love you - I trust you - I'm sorry - help me.,sadness
I am sorry for felling sorry.,sadness
Saying sorry was the biggest strength...!! ,sadness
Don’t say sorry for something you are planning on repeating later.,sadness
"i miss your smile, your face, your hugs.I miss you.",sadness
"When your mood is upset for no reason,you're surely missing someone. ",sadness
Nothing feels better than a surprise text from that person you miss.,sadness
"When I miss you, I read our old conversation, smile like an idiot, listen to songs that remind me of you, Then miss you more",sadness
"No calls, no texts, nothing but i’m still here thinking about you like Crazy.",sadness
"I cant lie, I miss you.",sadness
I am missing you and its killing me.,sadness
Behind my smile is everything you’ll never understand.,sadness
I wish my phone would vibrate right now and your name comes up on the screen.,sadness
"i miss your smile, your face, your hugs. I miss you.",sadness
"Hey Stupid , i still miss you , still love you , i hope you will realize.",sadness
Do I miss you ? →everyday ←,sadness
Missing someone & not being able to see them is the worst feeling ever.,sadness
Sometimes a simple I MISS YOU can change everything ♥,sadness
"When I close my eyes I see you, when I open my eyes I miss you.",sadness
"Sometimes, its not the person you miss, its the feelings, moments and memories you had with them.",sadness
"No calls, no texts, nothing but i am still here thinking about you like crazy.",sadness
No texts.No calls.nothing.but i'm still here thinking about you like crazy. ,sadness
I need you so much closer.,sadness
I can't stop missing you.,sadness
"I try not to miss you, but in the end I still do.",sadness
I dont miss you. I miss the laughs. The smiles. The good times. The way things were.,sadness
"No, I am not okay… I miss you.",sadness
I miss your name lighting up my phone.,sadness
"Whenever I miss you, I just HUG my pillow and imagine its YOU.",sadness
"I Wish We Could Go Back To how we used to be, i miss that.",sadness
A hug for you means I need you. A kiss for you means I love you. A call for you means I’m missing you.,sadness
"The more I think of you, the more I love you and the more I miss you.",sadness
"Where there is love, Nothing is missing.",sadness
I’m missing something in my life these days. ,sadness
I miss seeing your name show up on my phone.,sadness
"I MISS YOU. A little too much, a little too often, and a little more every day.",sadness
i miss the time when i actually meant something to you.,sadness
Missing someone & not being able to see them is the worst feeling ever.,sadness
Its never easy missing someone and knowing you cant do anything about it.,sadness
"I still miss him, I miss him, I’m missing him.",sadness
"i miss your smile, your face, your hugs.I miss you.",sadness
"When your mood is upset for no reason,you're surely missing someone. ",sadness
Nothing feels better than a surprise text from that person you miss.,sadness
"When I miss you, I read our old conversation, smile like an idiot, listen to songs that remind me of you, Then miss you more",sadness
"No calls, no texts, nothing but i’m still here thinking about you like Crazy.",sadness
"I cant lie, I miss you.",sadness
I am missing you and its killing me.,sadness
Behind my smile is everything you’ll never understand.,sadness
I wish my phone would vibrate right now and your name comes up on the screen.,sadness
"i miss your smile, your face, your hugs. I miss you.",sadness
"Hey Stupid , i still miss you , still love you , i hope you will realize.",sadness
Do I miss you ? →everyday ←,sadness
Missing someone & not being able to see them is the worst feeling ever.,sadness
Sometimes a simple I MISS YOU can change everything ♥,sadness
"When I close my eyes I see you, when I open my eyes I miss you.",sadness
"Sometimes, its not the person you miss, its the feelings, moments and memories you had with them.",sadness
"No calls, no texts, nothing but i am still here thinking about you like crazy.",sadness
No texts.No calls.nothing.but i'm still here thinking about you like crazy. ,sadness
I need you so much closer.,sadness
I can't stop missing you.,sadness
"I try not to miss you, but in the end I still do.",sadness
I dont miss you. I miss the laughs. The smiles. The good times. The way things were.,sadness
"No, I am not okay… I miss you.",sadness
I miss your name lighting up my phone.,sadness
"Whenever I miss you, I just HUG my pillow and imagine its YOU.",sadness
"I Wish We Could Go Back To how we used to be, i miss that.",sadness
A hug for you means I need you. A kiss for you means I love you. A call for you means I’m missing you.,sadness
"The more I think of you, the more I love you and the more I miss you.",sadness
"Where there is love, Nothing is missing.",sadness
I’m missing something in my life these days. ,sadness
I miss seeing your name show up on my phone.,sadness
"I MISS YOU. A little too much, a little too often, and a little more every day.",sadness
i miss the time when i actually meant something to you.,sadness
Missing someone & not being able to see them is the worst feeling ever.,sadness
Its never easy missing someone and knowing you cant do anything about it.,sadness
"I still miss him, I miss him, I’m missing him.",sadness
There’s always a person that you hate for no reason.,sadness
Emotional pain will always hurt more than physical pain.,sadness
My silence is just another word for my PAIN.,sadness
"Sometimes, tears are a sign of unspoken happiness.. and smile is a sign of silenced pain..",sadness
The pain is there to remind me that I'm still alive.,sadness
I know my silence and my tears will heal my pain one day.,sadness
Missing you can turn from pain to pleasure if I knew you were missing me too.,sadness
The most painful goodbye's are those which were never said and never explained.,sadness
"Love can't be proven with poems, promises, or presents. Sometimes, only pain and patience can prove it.",sadness
The greatest pain that comes from love is loving someone you can never have.,sadness
"Yes, I've changed. Pain does that to people.",sadness
It hurts but it’s okay because we can’t force someone to feel the same as well we feel for them.,sadness
Don't be much closer to anybody because a small change in their behavior hurts a lot.,sadness
I care too much that’s how i get hurt.,sadness
Hurt me with the truth But don't comfort me with a lie.,sadness
"If you can go days without talking to me, i am obviously not that important to you.",sadness
"You can close your eyes to the things you don’t want to see, but you can’t close your heart to the things you don’t want to feel.",sadness
Some guys just dont realize how much one little thing can hurt a girl.,sadness
"Promises are worse than lies because you dont just make them believe , you also make them HOPE",sadness
"""PERFECT MATURITY"" is when a person hurts you, and you try to understand their siuation and don't hurt them back.",sadness
It hurts when you realize you arent as important to someone as you thought you were.,sadness
Sometimes i'm not angry i'm hurt and there's a big difference.,sadness
Don't ask why someone keep hurting you. ASk yourself why you're allowing them.,sadness
"Love is like a rubber band held at both ends of two people. When one leaves, it hurts the other.",sadness
Love always Hurts.,sadness
"Nothing hurts more than realizing he meant Everything to you, but you meant nothing to him.",sadness
"I wish I could give you my pain just for one moment. Not to hurt you but rather so you can finally understand, how much you hurt me.",sadness
"Don’t trust too much, don’t hope too much because that “too much” can hurt you so much.",sadness
It hurts when you realize you aren't as important to someone as you thought you were.,sadness
I feel like everything I do is wrong.,sadness
"Erase the messages, delete the numbers and move on. You don’t have to forget them. just accept that they aren’t that person anymore.",sadness
"Sometimes you're not in love, you just care too much to let go because you don't want to hurt them.",sadness
You only get hurt if you actually give a fuck.,sadness
LOVE is like HEAVEN...But it hurts like HELL...,sadness
Sometimes i wish i had the guts to hurt you like you hurt me. But even if i had the chance. I wouldnt take it.,sadness
I hope you'll realize how much you're hurting me someday.,sadness
Time doesn't really heal a heart it just makes the heart forget about the pain...,sadness
Sometimes it's better to be alone. Nobody can hurt you!,sadness
"You fall in love, you get hurt. That’s life.",sadness
The deepest people are the ones who've been hurt the most.,sadness
"Forget who hurt you yesterday, but don't forget who loves you tenderly today.",sadness
"Getting hurt doesnt make me stupid. It means i have enough hope and enough love in my heart, to always think the best of people.",sadness
The only ones that can truly hurt you deeply are the ones you love.,sadness
Nothing hurts more than realizing he was everything to you and you were nothing.,sadness
"What hurts you today, makes you stronger tomorrow.",sadness
"The hardest thing to do is watch the one you love , love someone else. ",sadness
one day you`ll realize...all the love that i gave to you...is now being given to someone else ,sadness
It hurts but it’s okay because we can’t force someone to feel the same as well we feel for them.,sadness
Don't be much closer to anybody because a small change in their behavior hurts a lot.,sadness
I care too much that’s how i get hurt.,sadness
Hurt me with the truth But don't comfort me with a lie.,sadness
"If you can go days without talking to me, i am obviously not that important to you.",sadness
"You can close your eyes to the things you don’t want to see, but you can’t close your heart to the things you don’t want to feel.",sadness
Some guys just dont realize how much one little thing can hurt a girl.,sadness
"Promises are worse than lies because you dont just make them believe , you also make them HOPE",sadness
"""PERFECT MATURITY"" is when a person hurts you, and you try to understand their siuation and don't hurt them back.",sadness
It hurts when you realize you arent as important to someone as you thought you were.,sadness
Sometimes i'm not angry i'm hurt and there's a big difference.,sadness
Don't ask why someone keep hurting you. ASk yourself why you're allowing them.,sadness
"Love is like a rubber band held at both ends of two people. When one leaves, it hurts the other.",sadness
Love always Hurts.,sadness
"Nothing hurts more than realizing he meant Everything to you, but you meant nothing to him.",sadness
"I wish I could give you my pain just for one moment. Not to hurt you but rather so you can finally understand, how much you hurt me.",sadness
"Don’t trust too much, don’t hope too much because that “too much” can hurt you so much.",sadness
It hurts when you realize you aren't as important to someone as you thought you were.,sadness
I feel like everything I do is wrong.,sadness
"Erase the messages, delete the numbers and move on. You don’t have to forget them. just accept that they aren’t that person anymore.",sadness
"Sometimes you're not in love, you just care too much to let go because you don't want to hurt them.",sadness
You only get hurt if you actually give a fuck.,sadness
LOVE is like HEAVEN...But it hurts like HELL...,sadness
Sometimes i wish i had the guts to hurt you like you hurt me. But even if i had the chance. I wouldnt take it.,sadness
I hope you'll realize how much you're hurting me someday.,sadness
Time doesn't really heal a heart it just makes the heart forget about the pain...,sadness
Sometimes it's better to be alone. Nobody can hurt you!,sadness
"You fall in love, you get hurt. That’s life.",sadness
The deepest people are the ones who've been hurt the most.,sadness
"Forget who hurt you yesterday, but don't forget who loves you tenderly today.",sadness
"Getting hurt doesnt make me stupid. It means i have enough hope and enough love in my heart, to always think the best of people.",sadness
The only ones that can truly hurt you deeply are the ones you love.,sadness
Nothing hurts more than realizing he was everything to you and you were nothing.,sadness
"What hurts you today, makes you stronger tomorrow.",sadness
"The hardest thing to do is watch the one you love , love someone else. ",sadness
one day you`ll realize...all the love that i gave to you...is now being given to someone else ,sadness
Silent people have the greatest heart.,sadness
"When you're happy, you enjoy the music But when you're sad, you understand lyrics.",sadness
I get jealous because I am afraid someone is going to make you happier than I do.,sadness
Sometimes you need to run away just to see who will follow you.,sadness
"If you a girl make laugh she likes you, but if you make her cry, she loves you.",sadness
Your emotions trouble you only in those things which you call yours.,sadness
"When you can tell your story and it doesn’t make you cry, that’s when you know you’ve healed.",sadness
"Never assume that someone likes you by their sweetness. Sometimes, you're just an option when they're bored.",sadness
You aren't worthy of her silence if you can't respect her feelings.,sadness
We all get addicted to something that takes away the pain.,sadness
"Dear Feelings, i need you to move on.",sadness
No one stays with you permanently so learn to survive alone.,sadness
"''Never search your happiness in other , it will makes you feel none search it in yourself you will feel happy even when you are left alone''",sadness
i wish i could ignore you the way you ignore me.,sadness
I understand why you left But what i dont understand why im still waiting for you?,sadness
Sometimes you just have to stay silent because no words can explain what’s going on in your mind and heart.,sadness
I feel so alone sometimes.,sadness
"If you don't want me , don't mess with my feelings .",sadness
Never depend on others too much because someday you will have to walk alone.,sadness
It’s hard to forget someone who gave you so much to remember.,sadness
Its better to just quietly miss someone rather than let them know and just get no response.,sadness
"There are Billions of people in this world, but sometimes you really need just one.",sadness
I never feel alone bcz loneliness is always with me,sadness
"Sometimes i pretend that i dont care. But really, i care more than anyone else ever will.",sadness
"No matter how hard you try, Some people will never change.",sadness
I’m the type of girl who smiles to make everyone’s day. Even though I’m dying inside.,sadness
I hate seeing you because you bring back the feelings I tried so hard to forget.,sadness
When You Sit Alone ...You Sit With Your Past ... :(,sadness
i am scared of getting too close to anyone because those who said that they will always be there for me.,sadness
People who are always Online are the Loneliest ...Agree.?,sadness
"I dont care who was before me, as long as I know there is nobody during me.",sadness
"I Hope you will always Remember all the great memories we Created, Because i will.",sadness
We may Forget the person but memories stay there forever ,sadness
Just because we are not close anymore doesn’t mean I dont care about you.,sadness
"Missing someone is a part of loving them, if you are never apart then you will never know how strong your love really is.",sadness
Loneliness is better than a bad company.,sadness
"“You told me I was perfect, but you still left. I should have known my perfect wouldn’t be good enough.”",sadness
Dont cry over someone who wouldnt cry over you.,sadness
"When she ignores you, thats when you need to talk to her the most.",sadness
Sorry isn’t always enough. Sometimes you actually have to change.,sadness
"Once upon a time, I was stupid enough to fall in love with you.",sadness
Walking with a friend in the dark is better than walking alone in the light.,sadness
"Every time you ignore me, i regret every text message that i have ever sent you.",sadness
Sometimes I hate getting close to people because I think they will just walk out of my life no matter how close we are.,sadness
"Some days I cant stop thinking about you, and other days I wonder why I am wasting my time.",sadness
Some things will never go back to the way they used to be. No matter how much you miss them.,sadness
"Dear Feelings, i need you to move on.",sadness
No one stays with you permanently so learn to survive alone.,sadness
"''Never search your happiness in other , it will makes you feel none search it in yourself you will feel happy even when you are left alone''",sadness
i wish i could ignore you the way you ignore me.,sadness
I understand why you left But what i dont understand why im still waiting for you?,sadness
Sometimes you just have to stay silent because no words can explain what’s going on in your mind and heart.,sadness
I feel so alone sometimes.,sadness
"If you don't want me , don't mess with my feelings .",sadness
Never depend on others too much because someday you will have to walk alone.,sadness
It’s hard to forget someone who gave you so much to remember.,sadness
Its better to just quietly miss someone rather than let them know and just get no response.,sadness
"There are Billions of people in this world, but sometimes you really need just one.",sadness
I never feel alone bcz loneliness is always with me,sadness
"Sometimes i pretend that i dont care. But really, i care more than anyone else ever will.",sadness
"No matter how hard you try, Some people will never change.",sadness
I’m the type of girl who smiles to make everyone’s day. Even though I’m dying inside.,sadness
I hate seeing you because you bring back the feelings I tried so hard to forget.,sadness
When You Sit Alone ...You Sit With Your Past ... :(,sadness
i am scared of getting too close to anyone because those who said that they will always be there for me.,sadness
People who are always Online are the Loneliest ...Agree.?,sadness
"I dont care who was before me, as long as I know there is nobody during me.",sadness
"I Hope you will always Remember all the great memories we Created, Because i will.",sadness
We may Forget the person but memories stay there forever ,sadness
Just because we are not close anymore doesn’t mean I dont care about you.,sadness
"Missing someone is a part of loving them, if you are never apart then you will never know how strong your love really is.",sadness
Loneliness is better than a bad company.,sadness
"“You told me I was perfect, but you still left. I should have known my perfect wouldn’t be good enough.”",sadness
Dont cry over someone who wouldnt cry over you.,sadness
"When she ignores you, thats when you need to talk to her the most.",sadness
Sorry isn’t always enough. Sometimes you actually have to change.,sadness
"Once upon a time, I was stupid enough to fall in love with you.",sadness
Walking with a friend in the dark is better than walking alone in the light.,sadness
"Every time you ignore me, i regret every text message that i have ever sent you.",sadness
Sometimes I hate getting close to people because I think they will just walk out of my life no matter how close we are.,sadness
"Some days I cant stop thinking about you, and other days I wonder why I am wasting my time.",sadness
Some things will never go back to the way they used to be. No matter how much you miss them.,sadness
Cheating is a choice not a mistake.,sadness
"People always cheated me,because I loved them like mad…",sadness
I just want an honest relationship. No lies. No mind games. No cheating.,sadness
"Alphabets in ""TEACHING"" & ""CHEATING"" are common.. Those who try 2 'Cheat' u often 'Teach'...",sadness
"I don't understand why people cheat, if you're not happy, just leave.",sadness
"if you are in a relationship, flirting is cheating.",sadness
"People don't cheat by chance, they cheat by choice.",sadness
"Once a cheater, always a repeater. ",sadness
"Once a cheater always a cheater, they can never be trusted again.",sadness
"Cheating isnt always kissing, touching, or flirting. If you gotta delete text messages so your partner wont seem them, you are already there.",sadness
"Cheating is easy. Try something hard, like being committed.",sadness
"Don't lie, don't cheat, and dont make promises you can't keep.",sadness
"If you honest and frank,people may cheat you.Be honest and frank anyway.",sadness
There is no excuse for cheating in a relationship.,sadness
If you are not interested then don't cheat him.. Better leave him,sadness
Its not cheating unless you get caught.,sadness
If you are in a relationship. Flirting is CHEATING.,sadness
Cheaters think everyone cheats. Liars think everyone lies. Keep this in mind.,sadness
"If you had enough time to cheat, you had enough time to think about it.",sadness
Don't cry over someone that won't cry over you.,sadness
"Cheating is choice , not a mistake .",sadness
