content,intensity,clean_content,length
"Never, never, never, never give up.",angriness,never never never never give,5
There’s a difference between somebody who wants you and somebody who would do anything to keep you. Remember that.,angriness,difference somebody wants somebody would anything keep remember,8
"Before you judge me, Make sure that you’re perfect.",angriness,judge make sure perfect,4
I dont have enough middle fingers to show you how i feel.,angriness,dont enough middle fingers show feel,6
"Yes, i have changed. Pain does that to People.",angriness,yes changed pain people,4
"Dear Girls, Stop comparing all guys with your ex. Not all of us are players and jerks.",angriness,dear girls stop comparing guys ex us players jerks,9
The bravest thing I ever did was continuing my life when I wanted to die.,angriness,bravest thing ever continuing life wanted die,7
"Show me, don't tell me.",angriness,show tell,2
"I don’t fear commitment, I fear wasting my time.",angriness,fear commitment fear wasting time,5
"I live, I love, I fight, I cry, but I never give up",angriness,live love fight cry never give,6
How he treats you is how he feels about you.,angriness,treats feels,2
"Someone Asked me what is UR attitude then i simply replied... "" BEING SINGLE IS MY ATTITUDE…""",angriness,someone asked ur attitude simply replied single attitude,8
My attitude depends on the people in front of me.,angriness,attitude depends people front,4
Im not selfish but whats Mine is MINE . End of story,angriness,im selfish whats mine mine end story,7
"if you want me let me know, if you dont, please gently let me go.",angriness,want let know dont please gently let go,8
They laughed at me because I'm different. I laughed at them because they're all the same.,angriness,laughed different laughed,3
"I don’t insult people , I just describe them.",angriness,insult people describe,3
"Two fundamentals of cool life – Walk like you are the king OR walk like you don’t care ,who is the king.",angriness,two fundamentals cool life walk like king walk like care king,11
"I trusted you but now your words mean nothing to me, because your actions spoke the truth.",angriness,trusted words mean nothing actions spoke truth,7
"If you like me Then raise your hand, If not then raise your standard.",angriness,like raise hand raise standard,5
"Beauty Fades After Time, But Personality Is Forever!",angriness,beauty fades time personality forever,5
"Dear broken hearted girls , Hold your head up high and you middle finger higher , let him know what he is missing",angriness,dear broken hearted girls hold head high middle finger higher let know missing,13
"Be a girl with a mind, a bitch with an attitude, and a lady with class.",angriness,girl mind bitch attitude lady class,6
"I have no need for people who come to me when they need me,then throw me aside when they're fine.",angriness,need people come need throw aside fine,7
This is how it goes. I will respect those who respect me & forget those who forget me. Simple as that.,angriness,goes respect respect forget forget simple,6
When Sum One Hates You for no reason. Give them a reason.,angriness,sum one hates reason give reason,6
Never give up on something you love,angriness,never give something love,4
"Excellence is not a skill, It is an attitude. ",angriness,excellence skill attitude,3
"If you want me, come and get me. If you want me to come, forget it.",angriness,want come get want come forget,6
"Good girls are bad girls, who never get caught.",angriness,good girls bad girls never get caught,7
"To keep a relationship, you must keep your business to yourself and your partner, The whole world doesnt need to know your problems.",angriness,keep relationship must keep business partner whole world doesnt need know problems,12
If your are still hate me!then No Problem!.,angriness,still hate problem,3
"Problem is not a problem, but problem is that,is your attitude towards the problem.",angriness,problem problem problem attitude towards problem,6
"Girls are like parking spaces, all the good ones are already taken.",angriness,girls like parking spaces good ones already taken,8
Seeing your ex go through what they put you through.. Priceless.,angriness,seeing ex go put priceless,5
"Stop asking for faithful girls, when you are too busy chasing hoes.",angriness,stop asking faithful girls busy chasing hoes,7
The only difference between a good day and a bad day is your attitude.,angriness,difference good day bad day attitude,6
"I don't trust easily. So when I tell you that ""I trust you"", please don't make me regret it.",angriness,trust easily tell trust please make regret,7
"I'm Not a Tumblr Girl, But I'm Beautiful",angriness,tumblr girl beautiful,3
To all the girls that say gentlemen don't exist anymore: They do exist but gentlemen are attracted to ladies. Not sluts.,angriness,girls say gentlemen exist anymore exist gentlemen attracted ladies sluts,10
"Don't even try and judge me dude,You have no idea what the Fuck I've been through.",angriness,even try judge dude idea fuck,6
"If you want me let me know. If you don't, please gently let me go.",angriness,want let know please gently let go,7
"Putting in headphones, to avoid people's bullshit.",angriness,putting headphones avoid people bullshit,5
i am scared to see you with someone else.,angriness,scared see someone else,4
Silence is the best way to react while angry.,angriness,silence best way react angry,5
I hate the moment when suddenly my anger turns into tears.,angriness,hate moment suddenly anger turns tears,6
Silence is the best way to react while angry.,angriness,silence best way react angry,5
Some things can never be forgotten and nor forgiven.,angriness,things never forgotten forgiven,4
There are no words to describe the anger and frustration that I am feeling right now.,angriness,words describe anger frustration feeling right,6
Don't make so many promises when you can't even keep one.,angriness,make many promises even keep one,6
"Sometimes i’m not angry, i’m hurt and there’s a big difference.",angriness,sometimes angry hurt big difference,5
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleaneses the heart..",angriness,better cry angry anger hurts others tears flow silently soul cleaneses heart,12
"If I delete your number, you’re basically deleted from my life.",angriness,delete number basically deleted life,5
Getting angry is actually punishing yourself with the mistakes of others.,angriness,getting angry actually punishing mistakes others,6
Some people never realise the emotional and mental damage they do to others.,angriness,people never realise emotional mental damage others,7
"Your mistake is letting me go, my mistake was letting you in.",angriness,mistake letting go mistake letting,5
"Nobody makes you angry, you decide to use anger as a response.",angriness,nobody makes angry decide use anger response,7
The same person who said the sweetest things to me also said some of the meanest things I've ever heard.,angriness,person said sweetest things also said meanest things ever heard,10
"Never forget what someone says to you when they are angry, because that’s when the truth comes out",angriness,never forget someone says angry truth comes,7
"When we don’t know who to hate, we hate ourselves.",angriness,know hate hate,3
Some people need to open their small minds instead of their big mouths.,angriness,people need open small minds instead big mouths,8
Anger is a feeling that makes your mouth work faster than your mind.,angriness,anger feeling makes mouth work faster mind,7
"When you are angry, your text speed increases by a ridiculous amount.",angriness,angry text speed increases ridiculous amount,6
For every minute you are angry….. you lose sixty seconds of happiness… Think about It,angriness,every minute angry lose sixty seconds happiness think,8
It sucks when you realize you rejected other people for that one person who wasted your time.,angriness,sucks realize rejected people one person wasted time,8
"Anger is our natural deffense against pain. So when i say i hate you, it really means you hurt me.",angriness,anger natural deffense pain say hate really means hurt,9
"Everything is getting expensive except some people, they are getting cheaper…",angriness,everything getting expensive except people getting cheaper,7
Anger is poison. You must purge it from your mind or else it will corrupt your better nature.,angriness,anger poison must purge mind else corrupt better nature,9
They say milk is good for your teeth. You know what else is good for your teeth? Minding your own damn business.,angriness,say milk good teeth know else good teeth minding damn business,11
"Anger makes you smaller, while forgiviness forces you to grow beyond what you were..",angriness,anger makes smaller forgiviness forces grow beyond,7
"['Hating Me Won’T Make You Pretty.', 'Anger Is One Letter Short Of Danger.', 'I Am If I Changed, But You Changed Too.', 'Anger Is My Power So Don’t Make Me Angry.', 'Even The Nicest People Have Their Limits.', 'Whatever Is Begun In Anger Ends In Shame.', 'Don’T Make Me Angry And Change Your Status.', 'Silence Is The Best Way To React While Angry. ( Angry Whatsapp Status\xa0', 'I Hope Karma Slaps You In The Face Before I Do.', 'An Angry Man Opens His Mouth And Shuts His Eyes.', 'I Am Not In A Bad Mood, Everyone Is Just Annoying.', 'A Quick Temper Will Make A Fool Of You Soon Enough.', 'Yes I Am Smiling But You Are Not The Reason Anymore.', 'My Attitude Will Always Be Based On How You Treat Me.', 'You Blocked Me On Facebook & Noe You’Re Going To Die.', 'Anger Tears Me Up Inside…My Own…Or Anyone Else’S. (\xa0Angry\xa0Quotes\xa0', 'You Should Make A Woman Angry If You Wish Her To Love.', 'Sometimes I’M Not Angry. I’M Hurt And There’S A Big Diff.', 'Never Go To Bed Angry, Stay Awake And Plot Your Revenge.', 'It’S Easier To Say You’re Mad Than To Admit You’Re Hurt.', 'Don’T Make So Many Promises When You Can’T Even Keep One.', 'We Met For A Reason, Either You’Re A Blessing Or A Lesson.', 'I Hate The Moments When Suddenly My Anger Turns Into Tears.', 'Tell The Truth, Or Eventually Someone Will Tell It For You. (\xa0Angry Status\xa0', 'Its Just A Chapter In Your Life, Turn The Page And Move On.', 'When People Get Angry With Him, I Remind Them That He’S Kid.', 'If Someone Is Angry With You And You Laugh At Them, You Win.', 'Nobody Makes You Angry. You Decide To Use Anger As A Response.', 'I Miss You That True But It Doesn’t Mean I Forget Your Lies.', 'The Best Revenge Is To Be Unlike Hi Who Performed The Injury.', 'Anger Is Never Without A Reason, Butt Seldom With A Good One.', 'If I Delete Your Number, You’Re Basically Deleted For My Life. (\xa0Angry Whatsapp Status\xa0', 'Don’T Judge Someone Just Because They Sin Differently Than You.', 'People Change. Things Go Wrong. Shit Happens. But Life Goes On.', 'Anger Is Feeling That Make Your Mouth Work Faster Than Your Mind.', 'Don’T Be Angry With People Who Don’T Have The Capacity To Change.', 'All Angry Persons Are To Be Treated, By The Prudent, As Children.', 'When U Are Angry, Ur Text Speed Increases By A Ridiculous Amount.', 'If You Wake Me Up & I Don’T Get Angry, You Must Be Pretty Special.', 'Control Your ” Anger “. It Is Just One Letter Away From “D” Anger.\xa0( Angry Whatsapp Status\xa0', 'For Every Minute You Are Angry You Lose Sixty Seconds Of Happiness.', 'Anger Is A Condition In Which The Tongue Works Faster Than The Mind.', 'I Don’T Need Anger Management, I Need People To Stop Pissing Me Off.', 'Unless I Am Sitting On Your Face My Weight Is None Of Your Business!', 'People Won’T Have Time For You If You Are Always Angry Or Complaining.', 'Just Because You’Re Angry, Doesn’T Mean You Have The Right To Be Cruel.', 'Sometimes I Get To The Point Of Frustration, That I Just Become Silent.', 'Some People Need To Open Their Small Minds Instead Of Their Big Mouths.', 'When I’M Shouting, Your Fine. It’S When I Go Silent You Need To Worried.\xa0(\xa0Anger Status for Whatsapp\xa0', 'Anger Is Nothing Than An Outward Expression Of Hurt, Fear & Frustration.', 'Never Do Anything When U Are In A Temper, For U Will Do Everything Wrong.', 'Never Regret Anything, Because At One Time It Was Exactly What You Wanted.', 'Sometimes I Feel Like Giving People A High-Five In That Face, With A Chair.', 'Six Letters, Two Words, Easy To Say, Hard To Explain, Harder To Do. Move On.', 'You Will Not Be Punished For Your Anger, You Will Be Punished By Your Anger.', 'Holding On To Anger Is Like Drinking Poison And Expecting The Person To Die. ( Angry Whatsapp Status\xa0', 'No Matter How Angry You Get, You Always End Up Forgiving The People You Love.', 'Life Is Too Short To Spend Time With People Who Suck The Happiness Out Of You.', 'Anger Doesn’T Solve Anything. It Build Nothing, But It Can Destroy Everything.', 'Anger Doesn’T Solve Anything. It Builds Nothing, But It Can Destroy Everything.', 'I’M Sorry I Got Angry And Said A Lot Of Things I Mean But Shouldn’T Have Said.', 'If You’Re Going To Talk About Me Behind My Back, Don’T Smile At Me To My Face !', 'If Another Can Easily Anger You, It Is Because You Are Off Balance With Yourself.', 'Speak When You Are Angry And You Will Make The Best Speech You Will Ever Regret.', 'Smile……It Will Either Warn Their Heart, Piss Them Off….Either Way You Win ! ( Angry Whatsapp Status\xa0', 'Anger Makes You Smaller, While Forgiveness Forces You To Row Beyond What You Were.', 'Never Make A Decision When You Are Angry. Never Make A Promise When You Are Happy.', 'Stop Telling Me To Stay Calm. You’Re The One Who Pissed Me Off In The First Place.', 'Definition Of Ex: Thanks For The Experience. Our Time Has Expired. Now Exit My Life.', 'Listen To People When They Are Angry, Because That Is When The Real Truth Comes Out.', 'I Think That Stupid People Were Put On This Planet To Test My Anger Management Skills.', 'No One Will Ever Understand What I Mean Even If I Pour My Heart Into Words And Scream.\xa0(\xa0Angry Quotes for Relationship\xa0', 'I Wouldn’t Have To Manager My Anger, If People Could Learn To Manager Their Stupidity.', 'You Never Apologized For Hurting Me, But I Say Sorry  Times For Being Angry About It.', 'Don’T Waste You Time On Revenge. Those Who Hurt You Will Eventually Face Their Own Karma.', 'Anger Hurts You, Not The Person You’Re Angry At. Don’T Waste Life Getting Mad All The Time.', 'Our Days Are Happier When We Give People A Bit Of Our Heart Rather Than A Piece Of Out Mind.', 'The World Need Anger. The World Often Continues To Allow Evil Because It Isn’T Angry Enough.', 'Sometimes We Forgive Not Because We Are Wrong But Because Staying Angry Robs Us Of Happiness.', 'If You Don’T Know Your Own Worth And Value, Don’T Expect Someone Else To Calculate It For You.\xa0(\xa0Angry Status for Whatsapp\xa0', 'Don’T Change So People Will Like You. Be Yourself And The Right People Will Love The Real You.', 'A Woman Who Truly Loves You Will Be Angry At You For So Many Things, But Will Never Leave You.', 'Anger Is Great Force. If You Control It, It Can Transmuted Into A Power Can Moe The Whole World.', 'Never Forget What Someone Says To You When They’Re Angry Because That Is When The Truth Comes Out.', 'I Can Forgive A Lot Of Things…But Lies Aren’T One Of Them…So I Hope You Choke On The Lies You Told', 'If Someone Throws A Stone At You, Throw A Flower At Them. But Remember To Throw Flower Pot With It.', 'If You Tell The Truth, It Becomes A Part Of Your Past. If You Lie, It Becomes A Part Of Your Future.\xa0(\xa0Angry Love Quotes\xa0', 'People Say Everything Happens For A Reason. So When I Punch You In The Face, Remember I Have A Reason.', 'I Don’T Want To Hurt You Or Anybody So Please Forget About Me. Just Try. Find Yourself A Better Friend.', 'The More Anger You Hold Towards The Past In Your Heart, The Less Capable You Are Of Loving The Present.', 'Sometimes One Middle Finger Isn’T Enough To Let Someone Know How You Feel. That’S Why You Have Two Hands.', 'A Fake Friend Calls When They Need Something. A Real Friend Calls To Ask If You’Re In Need Of Something.', 'My Hate For You Is Undying & It Will Never Pause. Just Like How Much My Love For You Once Was. I Hate You. ( Angry Whatsapp Status\xa0', 'I Hate That I Cry I’M Frustrated Because People Think I’M Hurt When I’M Really Just Trying Not To Kill You.', 'Make You Anger So Expensive That No Can Afford It & Make Your Happiness So Cheap That Can Almost Get It Free.', 'I Will Not Delete You Or Block You. I Am Keeping You There So You Will Be Able To See How Happy I’M Without You.', 'I’M Sad, Hurt, Angry, Disappointed. But You Know What ? I’Ll Put On A Smile And Move On. But Will Hurt, But I Will Survive.', 'Anger Won’T Make Your Problems Easier. Tears Won’T Bring Back What Is Gone. But A Smile And Gratitude Will Make You Stronger.', 'Never Get Jealous Or Angry When You See Your Ex With Someone Else, Because Our Parents Taught Us To Give Out Used Toys To The Less Fortunate.', 'A Person Who Has Lots Of Anger Inside, Definitely Loves People More Than Anyone Else Can. Because If Red Colour Indicates Anger Than It Indicates Love Too. ( Angry Whatsapp Status\xa0']",angriness,,1
